dataset,task,track,method,variant,comparison_family,accuracy,macro_f1,weighted_f1,attack_recall,normal_recall,rare_recall,mcc,features,false_alerts_per_day,total_alerts_per_day,missed_attacks_per_day,operational_precision,source_file,limitation
nsl_kdd,binary,supervised_reference,Dummy (most_frequent),balanced where supported,classical_ml,0.4308,0.3011,,0.0,,attack 0.000,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,LogReg (balanced),balanced where supported,classical_ml,0.7543,0.7539,,0.625,,attack 0.625,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,RandomForest (balanced),balanced where supported,classical_ml,0.7674,0.7662,,0.612,,attack 0.612,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,ExtraTrees (balanced),balanced where supported,classical_ml,0.7882,0.7877,,0.649,,attack 0.649,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,HistGradientBoosting (balanced),balanced where supported,classical_ml,0.7972,0.7968,,0.665,,attack 0.665,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,supervised_reference,LightGBM (balanced),balanced where supported,classical_ml,0.7842,0.7835,,0.642,,attack 0.642,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,Dummy (most_frequent),balanced where supported,classical_ml,0.4308,0.1204,,,,R2L 0.000 / U2R 0.000,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,LogReg (balanced),balanced where supported,classical_ml,0.7913,0.6069,,,,R2L 0.236 / U2R 0.552,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,RandomForest (balanced),balanced where supported,classical_ml,0.7437,0.5128,,,,R2L 0.017 / U2R 0.104,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,ExtraTrees (balanced),balanced where supported,classical_ml,0.7653,0.5325,,,,R2L 0.047 / U2R 0.090,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,HistGradientBoosting (balanced),balanced where supported,classical_ml,0.7895,0.6382,,,,R2L 0.248 / U2R 0.284,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,multiclass,supervised_reference,LightGBM (balanced),balanced where supported,classical_ml,0.7629,0.5792,,,,R2L 0.079 / U2R 0.239,,,,,,,results/reference_track.md,single seed for several reference models
nsl_kdd,binary,phase3_tree_boosting,RandomForest,KDDTest+,tree_boosting,0.7772,0.7763,0.7744,,,,,,,,,,results/metrics.md,only RF/LightGBM in this artifact
