model,threshold_name,threshold,selection_rule,accuracy,macro_f1,weighted_f1,normal_recall,attack_precision,attack_recall,fp_per_10k_benign
LogReg,default_0.50,0.5,fixed,0.7539921930447125,0.7535187848579559,0.7520228533204514,0.9260632272680466,0.9176888685085406,0.6237824359074262,739.3677273195345
LogReg,validation_F1,0.36999999999999994,validation F-beta beta=1.0,0.7587828246983677,0.7584937196450245,0.7573365581366434,0.9209144269385233,0.9140073899899227,0.6360944440115328,790.8557306147668
LogReg,validation_F2_attack_recall_weighted,0.13,validation F-beta beta=2.0,0.7830464868701207,0.78304445448042,0.7831364127506393,0.9053650499433632,0.9060327198364008,0.690485467154991,946.349500566368
LogReg_balanced,default_0.50,0.5,fixed,0.754347054648687,0.7538989270415251,0.7524446085492592,0.9251364432087323,0.9169047891187564,0.6251071456401465,748.6355679126764
LogReg_balanced,validation_F1,0.36999999999999994,validation F-beta beta=1.0,0.759625621007807,0.7593642389067109,0.7582659415720919,0.9199876428792091,0.9133586083853702,0.6382763188654251,800.1235712079085
LogReg_balanced,validation_F2_attack_recall_weighted,0.16999999999999998,validation F-beta beta=2.0,0.7790986515259049,0.7790960071035504,0.7789901624036727,0.9083513541344866,0.9076092598359805,0.6812904231278735,916.4864586551333
ExtraTrees_balanced,default_0.50,0.5,fixed,0.7881032647267565,0.7875817865402038,0.7861242620116295,0.972299454227165,0.9686990923900396,0.6487181485233383,277.00545772834926
ExtraTrees_balanced,validation_F1,0.5099999999999999,validation F-beta beta=1.0,0.7858853797019163,0.7853081047408299,0.7837664003537368,0.9724024302337555,0.9686256146101615,0.6447440193251773,275.97569766244465
ExtraTrees_balanced,validation_F2_attack_recall_weighted,0.30999999999999994,validation F-beta beta=2.0,0.8126774308019872,0.8126017649461187,0.8131232413302724,0.9199876428792091,0.9235537190082644,0.7314735447673966,800.1235712079085
HistGB_balanced,default_0.50,0.5,fixed,0.797152235628105,0.796826263012123,0.7956992569134563,0.9717845741942127,0.9688919164396004,0.6650042858256059,282.15425805787254
HistGB_balanced,validation_F1,0.31999999999999995,validation F-beta beta=1.0,0.8160042583392477,0.8159269525173112,0.815404552569073,0.9709607661414891,0.9695102173207915,0.6987454219590119,290.39233858510966
HistGB_balanced,validation_F2_attack_recall_weighted,0.24,validation F-beta beta=2.0,0.8230571327182399,0.8230311813599127,0.8227344042877616,0.969416126042632,0.9685314685314685,0.7123042156939141,305.83873957367933
